EpThisIter,entropy,TimestepsSoFar,EpLenMean,EpRewMean,TimeElapsed,surrgain,optimgain,EpisodesSoFar,ev_tdlam_before,Iteration,trial,meankl,entloss
5,1.398995,157600,200.0,-224.1897155280883,74.9151520729065,0.024446735,0.024446735,788,0.9456241615116596,154,0,0.00783455,0.0
5,1.3809509,158600,200.0,-215.76901427896124,75.35419201850891,0.044702064,0.044702064,793,0.9288027733564377,155,0,0.0070190914,0.0
5,1.3791395,159600,200.0,-230.87739295135898,75.78981399536133,0.03347007,0.03347007,798,0.6753811538219452,156,0,0.010451035,0.0
5,1.3639442,160600,200.0,-231.5400267492389,76.22728419303894,0.03000996,0.03000996,803,0.9503368884325027,157,0,0.008698242,0.0
5,1.3634233,161600,200.0,-234.68639207149326,76.6557469367981,0.037647888,0.037647888,808,0.9073534235358238,158,0,0.008512239,0.0
6,1.3325171,162800,200.0,-239.9307220439695,77.17598509788513,0.030345669,0.030345669,814,0.9558321088552475,159,0,0.008228887,0.0
5,1.3371191,163800,200.0,-228.79473931636903,77.6535131931305,0.039174862,0.039174862,819,0.974150275811553,160,0,0.006253518,0.0
5,1.3240358,164800,200.0,-225.0433136126656,78.1410231590271,0.046060592,0.046060592,824,0.963818859308958,161,0,0.0055847755,0.0
5,1.3205473,165800,200.0,-207.7792034819767,78.60150814056396,0.06471197,0.06471197,829,0.9862175723537803,162,0,0.008122947,0.0
5,1.3095793,166800,200.0,-228.59962607575494,79.0696611404419,0.033278044,0.033278044,834,0.954083476215601,163,0,0.00942415,0.0
5,1.3042103,167800,200.0,-212.80079875833007,79.55611300468445,0.033678647,0.033678647,839,0.9560561366379261,164,0,0.0048388178,0.0
5,1.3035394,168800,200.0,-226.5139348574161,80.01293992996216,0.044661507,0.044661507,844,0.9585616961121559,165,0,0.0060268547,0.0
5,1.2793282,169800,200.0,-213.43414768197846,80.51007199287415,0.020250853,0.020250853,849,0.9615369774401188,166,0,0.006440038,0.0
6,1.262958,171000,200.0,-208.2308478110336,80.9657781124115,0.039858885,0.039858885,855,0.9710915721952915,167,0,0.007675911,0.0
5,1.2543669,172000,200.0,-217.11595834193594,81.40391802787781,0.0328471,0.0328471,860,0.9527746140956879,168,0,0.008389979,0.0
5,1.2471734,173000,200.0,-211.25962549285515,81.83614301681519,0.020437472,0.020437472,865,0.9431356862187386,169,0,0.0063846633,0.0
5,1.2346215,174000,200.0,-217.75749988654016,82.27842020988464,0.0303628,0.0303628,870,0.9853309011086822,170,0,0.007515587,0.0
5,1.228699,175000,200.0,-191.1296742966621,82.71177315711975,0.09931763,0.09931763,875,0.984466246329248,171,0,0.005802381,0.0
5,1.23059,176000,200.0,-175.94843672708612,83.14970421791077,0.040864863,0.040864863,880,0.9872437426820397,172,0,0.007891772,0.0
5,1.2359712,177000,200.0,-171.46359755365404,83.58593916893005,0.036323585,0.036323585,885,0.9664835035800934,173,0,0.0077827983,0.0
5,1.2421294,178000,200.0,-176.19438629000746,84.03067207336426,0.050699305,0.050699305,890,0.9874243680387735,174,0,0.011858189,0.0
6,1.2542206,179200,200.0,-152.93577264346305,84.46194124221802,0.04116509,0.04116509,896,0.9146891310811043,175,0,0.010559087,0.0
5,1.253875,180200,200.0,-152.64262874269525,84.89925003051758,0.04229629,0.04229629,901,0.99150709528476,176,0,0.009058535,0.0
5,1.2537543,181200,200.0,-156.8312465886448,85.34281706809998,0.02993381,0.02993381,906,0.97151561640203,177,0,0.0072964258,0.0
5,1.2486238,182200,200.0,-147.09594280039795,85.77178001403809,0.035986125,0.035986125,911,0.9764286316931248,178,0,0.006695092,0.0
5,1.2487513,183200,200.0,-153.74770740714763,86.2103910446167,0.03632511,0.03632511,916,0.9633085504174232,179,0,0.008767074,0.0
5,1.2489837,184200,200.0,-162.59461964669256,86.64859199523926,0.040576886,0.040576886,921,0.9527798965573311,180,0,0.0061801355,0.0
5,1.2608739,185200,200.0,-169.34833550578568,87.08842206001282,0.023904908,0.023904908,926,0.9619706086814404,181,0,0.0105268685,0.0
