policy_loss,value_loss,explained_variance,EpRewMean,Iteration,serial_timesteps,fps,trial,loss_ent,total_timesteps,nupdates,approxkl,Name,clipfrac,time_elapsed,EpLenMean
-0.0013140021,0.0032323357,0.6104042828083038,72.94826122,161,329728,457,0,0.35832545,329728,161,0.009795907,PP02,0.1317871,655.1262650489807,708.11
-0.00016102372,0.007500811,0.6664360761642456,73.6796005,162,331776,481,0,0.34466976,331776,162,0.008634884,PP02,0.11352539,659.3781983852386,709.43
-0.0077330275,0.013687839,0.6257133185863495,72.5239441,163,333824,541,0,0.31732845,333824,163,0.011517885,PP02,0.12626953,663.1627669334412,703.2
-0.0032678493,0.027888577,0.4067670702934265,70.94301428,164,335872,685,0,0.278078,335872,164,0.012176356,PP02,0.14672852,666.1528196334839,695.83
-0.0017920766,0.0054348195,0.850162997841835,72.87245526999999,165,337920,518,0,0.25694996,337920,165,0.008460278,PP02,0.115673825,670.1053276062012,699.99
-0.0042402763,0.013757134,0.4564763903617859,70.34117194999999,166,339968,464,0,0.2506482,339968,166,0.009925697,PP02,0.13027343,674.5145747661591,699.46
-0.0013765015,0.015324672,0.6479784548282623,74.4742773,167,342016,482,0,0.23390642,342016,167,0.007608167,PP02,0.095703125,678.7622029781342,686.77
-1.2483011e-05,0.0065502776,0.9013542234897614,74.96929537,168,344064,594,0,0.20174496,344064,168,0.007538284,PP02,0.09399414,682.2073969841003,683.48
0.00091359596,0.008500963,0.8145525604486465,76.27370806,169,346112,518,0,0.17302337,346112,169,0.009837996,PP02,0.12890625,686.1572299003601,675.96
-0.0026584528,0.03443566,0.4871067404747009,72.85291091,170,348160,693,0,0.16487674,348160,170,0.01836221,PP02,0.16625977,689.1123576164246,671.3
0.001533978,0.0074861087,0.8868701457977295,74.22224175,171,350208,725,0,0.15629593,350208,171,0.0077556586,PP02,0.099804685,691.9359724521637,665.31
